RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           63     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   89  104     0     0  con    0  1.0D+00  8.3D+00  2.511D-02  2.191D+02
   90  106     0     0  con    1  2.1D-01  1.7D+01  1.927D-01  2.191D+02
   91  107     0     0  con    0  1.0D+00  5.9D+00  3.496D-02  2.190D+02
   92  108     0     0  con    0  1.0D+00  1.3D+01  1.428D-01  2.190D+02
   93  109     0     0  con    0  1.0D+00  1.5D+01  1.469D-01  2.190D+02
   94  112     0     0  con    2  5.9D-03  1.9D+00  9.604D-02  2.190D+02
   95  113     0     0  con    0  1.0D+00  8.3D+00  7.746D-02  2.190D+02
   96  115     0     0  con    1  4.6D-01  2.1D+01  1.479D-01  2.190D+02
   97  116     0     0  con    0  1.0D+00  3.0D+00  7.796D-02  2.190D+02
   98  117     0     0  con    0  1.0D+00  2.4D+00  2.628D-02  2.190D+02
   99  118     0     0  con    0  1.0D+00  4.6D+00  9.515D-02  2.190D+02
  100  119     0     0  con    0  1.0D+00  5.4D+00  2.039D-01  2.190D+02
  101  120     0     0  con    0  1.0D+00  1.3D+01  2.207D-01  2.190D+02
  102  122     0     0  con    1  1.5D-01  2.1D+01  1.462D-01  2.190D+02
  103  123     0     0  con    0  1.0D+00  3.9D+00  9.499D-02  2.190D+02
  104  124     0     0  con    0  1.0D+00  7.0D+00  8.120D-02  2.190D+02
  105  126     0     0  con    1  2.7D-01  7.6D+00  8.467D-02  2.190D+02
  106  129     0     0  con    2  2.8D-02  4.8D+01  3.123D-01  2.190D+02
  107  130     0     0  con    0  1.0D+00  1.4D+01  8.548D-02  2.190D+02
  108  131     0     0  con    0  1.0D+00  1.3D+01  1.931D-01  2.190D+02
